17380207	INHIBITOR	Arg1:0	Arg2:0
17380207	INHIBITOR	Arg1:1	Arg2:1
17380207	INHIBITOR	Arg1:2	Arg2:2
17380207	NO_RELATION	Arg1:3	Arg2:3
17380207	INHIBITOR	Arg1:4	Arg2:4
17643344	INHIBITOR	Arg1:0	Arg2:0
17643344	INHIBITOR	Arg1:1	Arg2:1
17643344	INHIBITOR	Arg1:2	Arg2:2
16494569	SUBSTRATE	Arg1:0	Arg2:0
16494569	DIRECT-REGULATOR	Arg1:1	Arg2:1
16494569	INHIBITOR	Arg1:2	Arg2:2
16494569	INHIBITOR	Arg1:3	Arg2:3
23534442	INHIBITOR	Arg1:0	Arg2:0
23534442	INHIBITOR	Arg1:1	Arg2:1
23534442	INHIBITOR	Arg1:2	Arg2:2
23534442	INHIBITOR	Arg1:3	Arg2:3
23534442	INHIBITOR	Arg1:4	Arg2:4
23534442	INHIBITOR	Arg1:5	Arg2:5
16618126	INHIBITOR	Arg1:0	Arg2:0
16618126	INHIBITOR	Arg1:1	Arg2:1
16618126	INHIBITOR	Arg1:2	Arg2:2
16618126	INHIBITOR	Arg1:3	Arg2:3
16618126	DIRECT-REGULATOR	Arg1:4	Arg2:4
16618126	INHIBITOR	Arg1:5	Arg2:5
16618126	DIRECT-REGULATOR	Arg1:6	Arg2:6
20091113	INHIBITOR	Arg1:0	Arg2:0
20091113	NO_RELATION	Arg1:1	Arg2:1
20091113	DIRECT-REGULATOR	Arg1:2	Arg2:2
23609606	INHIBITOR	Arg1:0	Arg2:0
23609606	DIRECT-REGULATOR	Arg1:1	Arg2:1
23609606	INHIBITOR	Arg1:2	Arg2:2
23609606	INHIBITOR	Arg1:3	Arg2:3
23609606	INHIBITOR	Arg1:4	Arg2:4
23609606	INHIBITOR	Arg1:5	Arg2:5
11161433	SUBSTRATE	Arg1:0	Arg2:0
11161433	INDIRECT-DOWNREGULATOR	Arg1:1	Arg2:1
11161433	INHIBITOR	Arg1:2	Arg2:2
11161433	INDIRECT-DOWNREGULATOR	Arg1:3	Arg2:3
11588409	INHIBITOR	Arg1:0	Arg2:0
11588409	INHIBITOR	Arg1:1	Arg2:1
11588409	INHIBITOR	Arg1:2	Arg2:2
11588409	INHIBITOR	Arg1:3	Arg2:3
11588409	ANTAGONIST	Arg1:4	Arg2:4
15932636	SUBSTRATE	Arg1:0	Arg2:0
15932636	DIRECT-REGULATOR	Arg1:1	Arg2:1
