17380207	SUBSTRATE	Arg1:T5	Arg2:T9
17380207	SUBSTRATE	Arg1:T5	Arg2:T11
17380207	ANTAGONIST	Arg1:T3	Arg2:T9
17380207	ANTAGONIST	Arg1:T3	Arg2:T11
17380207	INDIRECT-UPREGULATOR	Arg1:T1	Arg2:T6
17380207	NO_RELATION	Arg1:T2	Arg2:T6
17643344	ANTAGONIST	Arg1:T11	Arg2:T15
17643344	INHIBITOR	Arg1:T12	Arg2:T15
17643344	ANTAGONIST	Arg1:T4	Arg2:T14
17643344	ANTAGONIST	Arg1:T6	Arg2:T14
17643344	ANTAGONIST	Arg1:T7	Arg2:T14
16494569	NO_RELATION	Arg1:T2	Arg2:T20
16494569	NO_RELATION	Arg1:T3	Arg2:T20
16494569	DIRECT-REGULATOR	Arg1:T8	Arg2:T21
16494569	INHIBITOR	Arg1:T10	Arg2:T21
23534442	INHIBITOR	Arg1:T17	Arg2:T23
23534442	INHIBITOR	Arg1:T16	Arg2:T23
23534442	INHIBITOR	Arg1:T3	Arg2:T19
23534442	INHIBITOR	Arg1:T4	Arg2:T19
23534442	INHIBITOR	Arg1:T5	Arg2:T19
23534442	INHIBITOR	Arg1:T6	Arg2:T19
23534442	INHIBITOR	Arg1:T7	Arg2:T19
23534442	NO_RELATION	Arg1:T8	Arg2:T19
23534442	ANTAGONIST	Arg1:T11	Arg2:T20
23534442	NO_RELATION	Arg1:T12	Arg2:T20
23534442	DIRECT-REGULATOR	Arg1:T14	Arg2:T18
23534442	DIRECT-REGULATOR	Arg1:T15	Arg2:T18
23534442	DIRECT-REGULATOR	Arg1:T1	Arg2:T18
16618126	SUBSTRATE	Arg1:T24	Arg2:T43
16618126	SUBSTRATE	Arg1:T28	Arg2:T43
16618126	SUBSTRATE	Arg1:T29	Arg2:T43
16618126	DIRECT-REGULATOR	Arg1:T30	Arg2:T43
16618126	DIRECT-REGULATOR	Arg1:T1	Arg2:T35
16618126	NO_RELATION	Arg1:T2	Arg2:T35
16618126	DIRECT-REGULATOR	Arg1:T3	Arg2:T35
16618126	ACTIVATOR	Arg1:T4	Arg2:T35
